Record ID,Contact Id,Rating,Date,Survey Name,NPS,CSAT
857237127,,7,2019-09-17 11:27,Customer Support Survey,Passive,
841737480,,6,2019-09-16 19:00,Customer Support Survey,Detractor,
827616804,,7,2019-09-16 15:12,Customer Support Survey,Passive,
814316665,,7,2019-09-13 12:52,Customer Support Survey,Passive,
813919285,,6,2019-09-13 09:09,Customer Support Survey,Detractor,
782338634,,7,2019-09-10 12:04,Customer Support Survey,Passive,
706048430,17673751,7,2019-09-04 09:38,Customer Support Survey,Passive,
681129825,17797601,7,2019-08-30 15:56,Customer Support Survey,Passive,
680949623,,7,2019-08-30 14:24,Customer Support Survey,Passive,
675166182,13777101,7,2019-08-29 12:08,Customer Support Survey,Passive,
501427780,19035001,7,2019-08-23 17:07,Customer Support Survey,Passive,
430271492,19174101,7,2019-08-21 19:08,Customer Support Survey,Passive,
386933105,,7,2019-08-19 10:50,Customer Support Survey,Passive,
342334213,,7,2019-08-15 18:00,Customer Support Survey,Passive,
342140541,,7,2019-08-13 13:48,Customer Support Survey,Passive,
342118184,,7,2019-08-12 13:07,Customer Support Survey,Passive,
342112294,18472151,7,2019-08-07 09:48,Customer Support Survey,Passive,
342128579,,3,2019-08-06 13:51,Customer Support Survey,Detractor,
342102788,,7,2019-08-05 16:53,Customer Support Survey,Passive,
342118106,,7,2019-08-02 20:49,Customer Support Survey,Passive,
342093179,,7,2019-08-02 17:03,Customer Support Survey,Passive,
342112386,,7,2019-08-02 15:47,Customer Support Survey,Passive,
342100856,,7,2019-08-01 23:48,Customer Support Survey,Passive,
340674450,,6,2019-08-01 20:06,Customer Support Survey,Detractor,
342110172,18895901,7,2019-08-01 19:41,Customer Support Survey,Passive,
342133427,,7,2019-07-31 12:31,Customer Support Survey,Passive,
342118158,,7,2019-07-31 11:16,Customer Support Survey,Passive,
342079998,,7,2019-07-30 18:22,Customer Support Survey,Passive,
342094892,,7,2019-07-29 17:04,Customer Support Survey,Passive,
342112260,,7,2019-07-29 16:54,Customer Support Survey,Passive,
342091422,,7,2019-07-29 16:52,Customer Support Survey,Passive,
342102892,20661401,6,2019-07-27 19:24,Customer Support Survey,Detractor,
342085838,,7,2019-07-26 17:44,Customer Support Survey,Passive,
342080196,,7,2019-07-26 16:57,Customer Support Survey,Passive,
342150174,,6,2019-07-26 16:35,Customer Support Survey,Detractor,
342080113,,7,2019-07-24 17:53,Customer Support Survey,Passive,
342080057,20661351,7,2019-07-24 12:32,Customer Support Survey,Passive,
342112287,14542551,7,2019-07-24 12:00,Customer Support Survey,Passive,
342102876,18707601,7,2019-07-24 10:36,Customer Support Survey,Passive,
342094980,,7,2019-07-23 10:16,Customer Support Survey,Passive,
342102684,20660951,6,2019-07-23 08:42,Customer Support Survey,Detractor,
342095066,15266301,1,2019-07-23 08:10,Customer Support Survey,Detractor,
342116446,17797601,7,2019-07-22 22:36,Customer Support Survey,Passive,
342106398,,6,2019-07-22 21:01,Customer Support Survey,Detractor,
342094984,,7,2019-07-22 14:00,Customer Support Survey,Passive,
342114330,,7,2019-07-22 12:57,Customer Support Survey,Passive,
342112283,,7,2019-07-22 07:56,Customer Support Survey,Passive,
342120267,,7,2019-07-22 06:54,Customer Support Survey,Passive,
342093158,,7,2019-07-19 16:51,Customer Support Survey,Passive,
342116135,,7,2019-07-19 16:13,Customer Support Survey,Passive,
342112300,,7,2019-07-18 21:35,Customer Support Survey,Passive,
342112391,,7,2019-07-18 20:00,Customer Support Survey,Passive,
342097119,,7,2019-07-18 14:21,Customer Support Survey,Passive,
342102745,,7,2019-07-18 13:44,Customer Support Survey,Passive,
342100897,23187151,7,2019-07-18 11:57,Customer Support Survey,Passive,
342095004,,7,2019-07-18 10:28,Customer Support Survey,Passive,
342080050,,7,2019-07-17 19:26,Customer Support Survey,Passive,
342106338,,7,2019-07-17 17:19,Customer Support Survey,Passive,
342102881,,7,2019-07-17 16:57,Customer Support Survey,Passive,
342118282,,7,2019-07-17 15:58,Customer Support Survey,Passive,
342094901,,7,2019-07-17 11:17,Customer Support Survey,Passive,
342102790,20661751,5,2019-07-17 09:14,Customer Support Survey,Detractor,
342100992,,5,2019-07-16 16:48,Customer Support Survey,Detractor,
342085825,,7,2019-07-16 16:23,Customer Support Survey,Passive,
342091401,,7,2019-07-16 12:57,Customer Support Survey,Passive,
342080080,,7,2019-07-16 11:42,Customer Support Survey,Passive,
342102784,,7,2019-07-16 09:51,Customer Support Survey,Passive,
342116449,20661351,7,2019-07-15 20:21,Customer Support Survey,Passive,
342100812,,6,2019-07-15 19:10,Customer Support Survey,Detractor,
342094906,18603301,7,2019-07-15 15:15,Customer Support Survey,Passive,
342093245,20661401,7,2019-07-13 13:11,Customer Support Survey,Passive,
342106304,,6,2019-07-13 12:51,Customer Support Survey,Detractor,
342102688,,7,2019-07-12 18:43,Customer Support Survey,Passive,
342100996,15115851,7,2019-07-12 15:01,Customer Support Survey,Passive,
342110514,,7,2019-07-12 13:17,Customer Support Survey,Passive,
342112382,20661401,7,2019-07-12 10:58,Customer Support Survey,Passive,
342118177,,6,2019-07-11 23:46,Customer Support Survey,Detractor,
340674442,,7,2019-07-11 15:47,Customer Support Survey,Passive,
342100898,63786251,7,2019-07-11 14:36,Customer Support Survey,Passive,
342128577,,7,2019-07-11 11:42,Customer Support Survey,Passive,
342140538,,7,2019-07-10 21:23,Customer Support Survey,Passive,
342112252,,7,2019-07-10 19:30,Customer Support Survey,Passive,
342118187,,7,2019-07-09 16:37,Customer Support Survey,Passive,
342093252,18516401,7,2019-07-09 14:34,Customer Support Survey,Passive,
342094996,,7,2019-07-09 10:59,Customer Support Survey,Passive,
342116448,,7,2019-07-08 20:09,Customer Support Survey,Passive,
342130991,20661401,7,2019-07-08 16:05,Customer Support Survey,Passive,
427379283,,1,2019-08-21 10:39,Customer Support Survey 1,Detractor,
414791790,,7,2019-08-20 12:03,Customer Support Survey 1,Passive,
387443547,,6,2019-08-19 15:36,Customer Support Survey 1,Detractor,
342080002,19035001,7,2019-08-13 12:30,Customer Support Survey 1,Passive,
342095076,,7,2019-07-31 13:52,Customer Support Survey 1,Passive,
342108318,,7,2019-07-24 17:33,Customer Support Survey 1,Passive,
342106286,,7,2019-07-23 19:13,Customer Support Survey 1,Passive,
342094991,,7,2019-07-19 17:10,Customer Support Survey 1,Passive,
342080093,,7,2019-07-19 16:38,Customer Support Survey 1,Passive,
342098893,,7,2019-07-18 18:15,Customer Support Survey 1,Passive,
